中3 前期中間対策暗記プリ 社会(歴史),解答 ※{ }内は順不同
( )の( )党が今の中国(中華人民共和国)を建国した。,毛沢東、共産
1950年、朝鮮で北の( )と南の( )が北緯( )度線を境に( )戦争が起きた。,北朝鮮、韓国、38、朝鮮
もともと朝鮮は一つの国だったが、北は( )、南は( )に占領され、それぞれの国が建国された。,ソ連、アメリカ
GHQが、国の治安維持のために創設した部隊,警察予備隊
米軍が日本から大量の軍需物資を調達したため、経済振興が進み、( )景気になり、( )成長に向かった。,特需、高度経済
日本と連合国各国の平和条約,サンフランシスコ平和条約
サンフランシスコ平和条約と同時に結ばれた、日本とアメリカの安全保障のため、米軍が駐留することなどを定めた条約,日米安全保障条約
日本とソビエト連邦の戦争状態を終わらせ両国の外交関係を回復させた宣言,日ソ共同宣言
1954年、アメリカの水爆実験により発生した死の灰による事件,第五福竜丸事件
1962年、ソ連が核を設置し、核戦争の危機になったこと,キューバ危機
ベトナムで、北の社会主義と南の資本主義に分かれた戦い,ベトナム戦争
池田勇人内閣による、60~70年までに経済成長率が大きく飛躍した計画,国民所得倍増計画
1960年、エネルギーが石炭から石油になったこと,エネルギー革命
1964年、( )が開通し、アジア初の( )が開催された。,東海道新幹線、東京五輪
1968年、日本の( )(アルファベットで( ))が米国に次ぐ世界第二位になった。,国民総生産、GNP
国内総生産(GNP)は、その( )が一年間に新たに生産した( )と( )の付加価値の合計のこと。,国民、材、サービス
1960年代は、白黒テレビ、冷蔵庫、洗濯機の3つを( )といった。,三種の神器
1970年代は、カラーテレビ、クーラー、車(カー)の3つを( )といった。,3C
大量の産業廃棄物や有害物質による環境汚染が原因の病気,公害
メチル水銀による公害で、1番目の名前と起きた場所,水俣病、熊本県
メチル水銀による公害で、2番目の名前と起きた場所,新潟水俣病、新潟県
カドミウムによる公害で、その名前と起きた場所(県と川),イタイイタイ病、富山、神通川
亜硫酸ガスによって起きた公害で、その名前と起きた場所(県と市),四日市ぜんそく、三重、四日市市
公害の対策のため、1967年、( )法が制定された。,公害対策基本
公害対策基本法に続き、1993年、( )法が制定された。,環境基本
1973年、中東戦争により、( )が起き、( )の買い占めが起きた。,石油危機、トイレットペーパー
1965年、韓国と( )を結んだ。韓国を「( )にある唯一の合法的な( )」と認め、国交を回復した。,日韓基本条約、朝鮮、政府
1978年、中国と( )条約を結んだ。,日中平和友好(条約)
敗戦後の文学は、( )を受け継ぐ流れと、( )を模索する流れの2つに分かれた。,日本の伝統、新しい動き
1953年、( )放送が始まり、スポーツ、歌謡、漫画、アニメなどが流行。,テレビ
また数多くのノーベル賞を受賞し、2016年には、( )がノーベル生理学・医学賞授賞を受賞した。,大隅良典
冷戦の原因には、( )や( )の対立がある。,宗教、民族
冷戦の形態は、( )戦争、( )、( )戦などがある。,ハイテク、テロ、ゲリラ
1991年、イラクのクウェート侵攻に対し、アメリカなどの( )軍が作られ、( )軍を敗北させた。,多国籍、イラク
連合国軍がイラク軍を敗北させたとき、日本は何をしたか。,巨額の戦争用費を負担した
連合国軍がイラク軍を敗北させたとき、<br>巨額の戦争用非負担では世界から批判を受け、( )の海外派遣に変わった。,自衛隊
紛争当事者に間接的に平和的解決を促す国際連合の活動をなんというか。(漢字とアルファベットそれぞれ),国連平和維持活動、PKO
2001年( )月( )日、( )同時多発テロが起きた。原因は、( )問題である。,9、1、アメリカ、パレスチナ
1975年から、( )会議が行われていて、参加国は( )の八カ国である。,主要国首脳、日米英独仏加露EU
日本で開催された250は、( )サミットである。,伊勢志摩
ヨーロッパで発足された地域統合,ヨーロッパ連合
アジアの経済協定をアルファベット4字で答えよ。,APEC
